




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6399963 Released 2022-03-22
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21997)	upload_1 (1785)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
podosome core (GO:0061825)	3	3	.24	+	12.32	7.10E-03	4.76E-02
succinate-CoA ligase complex (GO:0042709)	3	3	.24	+	12.32	7.10E-03	4.74E-02
nitric-oxide synthase complex (GO:1903958)	3	3	.24	+	12.32	7.10E-03	4.72E-02
eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)	8	8	.65	+	12.32	7.38E-06	1.15E-04
glycerol-3-phosphate dehydrogenase complex (GO:0009331)	3	3	.24	+	12.32	7.10E-03	4.71E-02
electron transfer flavoprotein complex (GO:0045251)	3	3	.24	+	12.32	7.10E-03	4.69E-02
retromer, cargo-selective complex (GO:0030906)	3	3	.24	+	12.32	7.10E-03	4.68E-02
mitochondrial electron transfer flavoprotein complex (GO:0017133)	3	3	.24	+	12.32	7.10E-03	4.66E-02
aminoacyl-tRNA synthetase multienzyme complex (GO:0017101)	12	12	.97	+	12.32	3.56E-08	8.13E-07
GAIT complex (GO:0097452)	4	4	.32	+	12.32	1.73E-03	1.44E-02
Arp2/3 protein complex (GO:0005885)	9	9	.73	+	12.32	1.93E-06	3.42E-05
proteasome core complex, alpha-subunit complex (GO:0019773)	8	7	.65	+	10.78	4.98E-05	6.58E-04
eukaryotic translation initiation factor 3 complex (GO:0005852)	16	14	1.30	+	10.78	7.90E-09	1.96E-07
cytosolic proteasome complex (GO:0031597)	6	5	.49	+	10.27	7.45E-04	6.93E-03
mitochondrial alpha-ketoglutarate dehydrogenase complex (GO:0005947)	6	5	.49	+	10.27	7.45E-04	6.89E-03
proteasome regulatory particle, base subcomplex (GO:0008540)	12	10	.97	+	10.27	1.55E-06	2.86E-05
proton-transporting ATP synthase complex, catalytic core F(1) (GO:0045261)	6	5	.49	+	10.27	7.45E-04	6.86E-03
eukaryotic translation initiation factor 2 complex (GO:0005850)	6	5	.49	+	10.27	7.45E-04	6.83E-03
mitochondrial tricarboxylic acid cycle enzyme complex (GO:0030062)	11	9	.89	+	10.08	5.81E-06	9.31E-05
mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) (GO:0000275)	5	4	.41	+	9.86	2.93E-03	2.25E-02
chaperonin-containing T-complex (GO:0005832)	10	8	.81	+	9.86	2.19E-05	3.05E-04
SAM complex (GO:0001401)	5	4	.41	+	9.86	2.93E-03	2.24E-02
proteasome core complex (GO:0005839)	19	15	1.54	+	9.73	6.03E-09	1.51E-07
proteasome regulatory particle (GO:0005838)	23	18	1.87	+	9.64	1.99E-10	5.72E-09
tricarboxylic acid cycle enzyme complex (GO:0045239)	17	13	1.38	+	9.42	8.18E-08	1.79E-06
proteasome accessory complex (GO:0022624)	25	19	2.03	+	9.37	8.90E-11	2.59E-09
cytosolic small ribosomal subunit (GO:0022627)	45	34	3.65	+	9.31	3.87E-18	1.68E-16
endoplasmic reticulum chaperone complex (GO:0034663)	12	9	.97	+	9.24	9.49E-06	1.44E-04
proteasome core complex, beta-subunit complex (GO:0019774)	11	8	.89	+	8.96	3.53E-05	4.83E-04
mitochondrial pyruvate dehydrogenase complex (GO:0005967)	7	5	.57	+	8.80	1.20E-03	1.03E-02
dihydrolipoyl dehydrogenase complex (GO:0045240)	10	7	.81	+	8.63	1.32E-04	1.47E-03
intercellular canaliculus (GO:0046581)	10	7	.81	+	8.63	1.32E-04	1.46E-03
zona pellucida receptor complex (GO:0002199)	13	9	1.05	+	8.53	1.50E-05	2.13E-04
lamin filament (GO:0005638)	6	4	.49	+	8.22	4.60E-03	3.29E-02
