complex_name,protien_count,expected,pValue,fold_enrichment,fdr,protien_list
fatty acid beta-oxidation multienzyme complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15874610517690546,"['Q99JY0', 'Q8BMS1']"
gamma-catenin-TCF7L2 complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4916768687950538,['Q02257']
"mitochondrial proton-transporting ATP synthase, stator stalk",2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15834114062288274,"['Q9DCX2', 'Q9DB20']"
late endosome lumen,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15793823695717565,"['P16858', 'P63017']"
ectoplasm,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4908560392979001,['Q8VCB3']
UBC13-UEV1A complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15753737848774121,"['Q9CZY3', 'P61089']"
intracellular ferritin complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.49003794589907024,['P29391']
methylcrotonoyl-CoA carboxylase complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15713854968144314,"['Q99MR8', 'Q3ULD5']"
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex",1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.48922257494083554,['P70266']
growth cone leading edge,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4884099128562162,['Q9JM76']
mitochondrial prohibitin complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15674173516204554,"['P67778', 'O35129']"
ventral surface of cell,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4875999461682291,['Q9CVB6']
actin filament branch point,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.48679266148914263,['Q9CVB6']
apical ectoplasmic specialization,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15634691970823686,"['O55143', 'Q99JY9']"
podosome ring,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4859880455197391,['Q9CVB6']
podosome core,3,0.24344228758467062,0.007103358977677513,12.323249299719889,0.047550445788071515,"['P61161', 'Q9CVB6', 'Q99JY9']"
proteasome storage granule,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.1559540882516835,"['Q3TXS7', 'Q8VDM4']"
lysosomal matrix,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15556322587511287,"['P17047', 'P63017']"
nucleoplasmic periphery of the nuclear pore complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.1551743178104251,"['Q9Z204', 'P49312']"
COPI-coated Golgi to ER transport vesicle,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4851860850485844,['Q6R0H7']
basal body patch,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.48438676695130506,['P63260']
calpain complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.154787349436833,"['O08529', 'O88456']"
Sec62/Sec63 complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.483590078189872,['Q8VHE0']
endoplasmic reticulum Sec complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.48279600581189186,['Q8VHE0']
mitochondrial fatty acid beta-oxidation multienzyme complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15440230627902995,"['Q99JY0', 'Q8BMS1']"
succinate-CoA ligase complex,3,0.24344228758467062,0.007103358977677513,12.323249299719889,0.04739454268712702,"['Q9Z2I9', 'Q9Z2I8', 'Q9WUM5']"
nitric-oxide synthase complex,3,0.24344228758467062,0.007103358977677513,12.323249299719889,0.0472396585606985,"['Q9DCN2', 'Q9CW42', 'Q9CQX2']"
serine-pyruvate aminotransferase complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4820045369499052,['Q8BL66']
glycine cleavage complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.1540191740053847,"['Q91WK5', 'Q91W43']"
"eukaryotic translation initiation factor 3 complex, eIF3m",8,0.6491794335591217,7.383766846789922E-6,12.323249299719889,0.0001147020269711259,"['Q99JX4', 'Q91WK2', 'Q9QZD9', 'O70194', 'Q9DCH4', 'P23116', 'Q8R1B4', 'Q8JZQ9']"
